Started GRPC Client

To alter the type, rate, SMA Channel or SMA Window, use these commands:
type <arg>
rate <arg>
channel <arg>
window <arg>

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
3 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
4 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
8 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
9 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
10 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:18.
2 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
5 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
6 - NRK2, avg muted 35.839493909s, views 2 at 15:27:42.
7 - FEM, avg muted 31.157283215s, views 3 at 15:29:04.
8 - TV2 Norge, avg muted 29.969909655s, views 16 at 15:29:01.
9 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
10 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
5 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
6 - NRK2, avg muted 35.839493909s, views 3 at 15:29:06.
7 - TV2 Norge, avg muted 29.969909655s, views 16 at 15:29:01.
8 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - FEM, avg muted 24.08357123s, views 3 at 15:29:04.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - NRK2, avg muted 35.839493909s, views 3 at 15:29:06.
8 - TV2 Norge, avg muted 29.969909655s, views 17 at 15:29:12.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - FEM, avg muted 24.08357123s, views 3 at 15:29:04.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - NRK2, avg muted 35.839493909s, views 3 at 15:29:06.
8 - TV2 Norge, avg muted 29.969909655s, views 17 at 15:29:12.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - VOX, avg muted 24.429718898s, views 5 at 15:28:55.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - NRK2, avg muted 35.839493909s, views 3 at 15:29:06.
8 - TV2 Norge, avg muted 29.969909655s, views 17 at 15:29:12.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - FEM, avg muted 24.750813452s, views 3 at 15:29:04.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - TV3 Norge, avg muted 59.294916608s, views 4 at 15:27:49.
3 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
4 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - NRK2, avg muted 35.839493909s, views 3 at 15:29:06.
8 - TV2 Norge, avg muted 29.969909655s, views 18 at 15:29:25.
9 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.
10 - FEM, avg muted 24.750813452s, views 3 at 15:29:04.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - TV3 Norge, avg muted 52.837787479s, views 4 at 15:27:49.
3 - TV2 Norge, avg muted 47.067953055s, views 18 at 15:29:25.
4 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
5 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
6 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
7 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
8 - NRK2, avg muted 32.049447851s, views 3 at 15:29:06.
9 - NRK Rog. 24, avg muted 31.606494236s, views 1 at 15:26:47.
10 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.

1 - NRK1, avg muted 1m10.123918507s, views 9 at 15:28:01.
2 - TV3 Norge, avg muted 52.837787479s, views 4 at 15:27:49.
3 - TV2 Norge, avg muted 47.067953055s, views 18 at 15:29:25.
4 - NRK 3/Super HD, avg muted 42.306305388s, views 3 at 15:28:25.
5 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
6 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
7 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
8 - NRK2, avg muted 32.049447851s, views 3 at 15:29:06.
9 - NRK Rog. 24, avg muted 31.606494236s, views 1 at 15:26:47.
10 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.

1 - NRK1, avg muted 1m18.085772836s, views 9 at 15:28:01.
2 - TV3 Norge, avg muted 1m2.028822955s, views 4 at 15:28:25.
3 - TV2 Norge, avg muted 52.378841478s, views 18 at 15:29:25.
4 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - NRK 3/Super HD, avg muted 33.458710358s, views 3 at 15:28:25.
8 - NRK2, avg muted 32.049447851s, views 3 at 15:29:06.
9 - NRK Rog. 24, avg muted 31.606494236s, views 1 at 15:26:47.
10 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.

1 - NRK1, avg muted 1m18.085772836s, views 9 at 15:28:01.
2 - TV3 Norge, avg muted 1m2.028822955s, views 4 at 15:28:25.
3 - TV2 Norge, avg muted 46.099068097s, views 18 at 15:29:25.
4 - NRK1 HD, avg muted 40.019987678s, views 6 at 15:28:07.
5 - TV4, avg muted 36.245138874s, views 1 at 15:28:14.
6 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
7 - NRK 3/Super HD, avg muted 33.458710358s, views 3 at 15:28:25.
8 - NRK2, avg muted 32.049447851s, views 3 at 15:29:06.
9 - NRK Rog. 24, avg muted 31.606494236s, views 1 at 15:26:47.
10 - BBC World News, avg muted 25.493719779s, views 1 at 15:28:24.

